builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;4.08;0.60;39:29.30;0;0;0;33380;0;2456;0;15355;0
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;1-init;20.60;6.81;1:13.62;37;0;0;349536;1248;745704;29;192326;0
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;2-build-test;0.30;0.03;0:39.82;0;0;0;39172;0;256;0;15916;0
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;3-fetch;3.96;0.58;41:47.20;0;0;0;39152;0;2728;0;16011;0
threadripper-3970x-64gb-zeus;1-init;16.44;3.24;0:56.56;34;0;0;139260;19768;679584;66;126313;0
threadripper-3970x-64gb-zeus;2-build-test;0.37;0.03;0:32.25;1;0;0;32336;3392;2680;9;20292;0
threadripper-3970x-64gb-zeus;3-fetch;4.00;0.47;18:11.50;0;0;0;29256;8;568;0;13958;0
threadripper-3990x-128gb-zeus;1-init;17.02;3.29;1:22.36;24;0;0;136348;20120;701624;66;129316;0
threadripper-3990x-128gb-zeus;2-build-test;0.35;0.05;0:31.43;1;0;0;32088;1664;2688;7;20828;0
threadripper-3990x-128gb-zeus;3-fetch;2.31;0.38;24:05.74;0;0;0;29204;8;496;0;14128;0
threadripper-3990x-256gb-zeus;1-init;16.26;2.97;1:10.55;27;0;0;140220;29240;704664;69;132156;0
threadripper-3990x-256gb-zeus;2-build-test;0.52;0.05;0:30.25;1;0;0;32316;1976;2680;8;21077;0
threadripper-3990x-256gb-zeus;3-fetch;2.39;0.43;24:07.63;0;0;0;29228;136;480;1;14055;0
vSphere-VM-28t-55G-zeus;1-init;37.87;10.03;1:35.24;50;0;0;135812;0;679872;0;150633;0
vSphere-VM-28t-55G-zeus;2-build-test;1.18;0.13;1:21.35;1;0;0;32264;0;2704;0;19300;0
vSphere-VM-28t-55G-zeus;3-fetch;17.79;3.40;14:01.95;2;0;0;29544;0;528;0;13844;0
xeon-e3-1275-v5-dunfell;1-init;29.81;9.45;25:01.21;2;0;0;172440;0;800544;0;103302;0
xeon-e3-1275-v5-dunfell;2-build-test;0.49;0.05;2:16.86;0;0;0;31488;0;2744;0;18708;0
xeon-e3-1275-v5-dunfell;3-fetch;13.14;1.80;3:35:15;0;0;0;28916;96;816;1;12653;0
