builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;64;qtbase;489.54;0.08;0.96;0%;48;12114;10545;0;30548
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;64;qtdeclarative;181.92;0.05;0.45;0%;40;10736;10542;0;30716
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;64;qtwebengine;966.39;0.75;8.10;0%;1600;47379;10543;0;30580
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;32;chromium-x11;2252.36;1.02;9.30;0%;951;135730;10557;0;30528
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;32;qtbase;291.67;0.06;0.35;0%;28;11178;10570;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;32;qtdeclarative;133.48;0.04;0.31;0%;22;10586;10568;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;32;qtwebengine;774.31;0.27;3.15;0%;305;60626;10554;0;30596
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;48;chromium-x11;1940.22;0.87;10.29;0%;1419;119075;10541;0;30444
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;48;qtbase;274.11;0.05;0.37;0%;33;11051;10570;0;30652
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;48;qtdeclarative;129.78;0.05;0.31;0%;26;10544;10549;0;30528
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;48;qtwebengine;663.40;0.42;3.27;0%;414;54987;10605;8;30000
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;64;chromium-x11;1745.81;1.05;11.11;0%;2280;97902;10551;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;64;qtbase;279.14;0.03;0.39;0%;31;11065;10552;0;30544
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;64;qtdeclarative;129.22;0.05;0.31;0%;24;10596;10556;0;30504
